序號,更新日期,類別,問題,解答
50,1121002,營業稅稅額應如何計算,我本來是查定課徵的小規模營業人，現在想改為使用統一發票，按進銷項差額報繳營業稅可以嗎？ ,可向所轄稽徵機關申請按加值型及非加值型營業稅法第4章第1節規定計算營業稅額，並依第35條規定申報繳納，但經核准後三年內不得申請變更。（加值型及非加值型營業稅法第24條） 
51,1121002,營業稅稅額應如何計算,查定課徵的營業人，要保留進貨憑證嗎？有何好處？     ,查定課徵的營業人，購買營業上使用之貨物或勞務，取得載有營業稅額的憑證，並依規定於1、4、7、10月之5日前申報，即可將進項稅額10％，在查定稅額內扣減，但查定稅額未達起徵點者不適用，前項稅額10％超過查定稅額者，次期得繼續扣減。但未依前項規定期限申報，或非當期各月分進項憑證，不得扣減查定稅額。       （加值型及非加值型營業稅法第25條及同法施行細則第44條） 
52,1121002,營業稅稅額應如何計算,營業人以分期付款方式銷售貨物，如何計算銷售額？,營業人分期付款銷貨，除約定收取第1期價款時以全部應收取之價款為銷售額外，應以各期收取之價款為銷售額，惟事後買受人有未依約支付價款之情形者，因貨物既經交付，仍應依期開立統一發票報繳營業稅。（加值型及非加值型營業稅法施行細則第20條）（財政部75.9.27台財稅第7526966號函）
53,1121002,營業稅稅額應如何計算,按銷貨契約取得之獎勵金應如何處理？,營業人依經銷契約取得或支付之獎勵金，應按進貨或銷貨折讓處理。（加值型及非加值型營業稅法施行細則第23條）
54,1121002,營業稅稅額應如何計算,進項稅額不能扣抵銷項稅額的自用乘人小汽車是指那種汽車？,係指非供銷售或提供勞務使用之9人座以下乘人小客車。（加值型及非加值型營業稅法施行細則第26條第2項）
55,1121002,營業稅稅額應如何計算,進項稅額憑證當期未及申報，可延期申報嗎？,進項稅額憑證未於當期申報者，得延至次期申報扣抵，次期仍未申報者，應於申報扣抵當期敘明理由。但前揭憑證之申報扣抵期間，以10年為限。 （加值型及非加值型營業稅法施行細則第29條）
56,1121002,營業稅稅額應如何計算,公司購供員工使用之茶葉、衛生紙等物品其進項稅額可否扣抵？,營業人購買放置於營業場所供全體員工使用之物品如茶葉、衛生紙、香皂、消費用品用具等可以扣抵，但福利性質如球鞋等，係酬勞員工個人之貨物，則不可扣抵。（加值型及非加值型營業稅法第19條第1項第4款)（財政部75.10.3台財稅第7567454號函）
57,1121002,營業稅稅額應如何計算,營業人辦理員工伙食之進項稅額可否扣抵？,營業人辦理員工伙食購買主、副食品、水電、瓦斯等之進項稅額均不可扣抵。（財政部75.10.2台財稅第7526396號函）
58,1121002,營業稅稅額應如何計算,本公司進項憑證可否編列明細表代替扣抵聯申報？,營業人符合下列條件之一者，得向稽徵機關申請以進項憑證編列之明細表，代替進項稅額扣抵聯申報。 一、營利事業所得稅委託會計師查核簽證申報者。二、經核准使用藍色申報書申報營利事業所得稅者。三、股份有限公司組織，且股票已上市者。四、連續營業3年以上，每年營業額達1億元以上，且申報無虧損者。 五、進項憑證扣抵聯數量龐大者。（加值型及非加值型營業稅法施行細則第38條第3項）
59,1121002,營業稅稅額應如何計算,營業人租用辦公室所支付水、電費未載明營業人名稱可否扣抵？,一、公用事業自105年1月1日起經營本業部分之銷售額，依規定應開立統一發票，營業人用戶繳納承租房屋之公用事業費用時，其繳費通知單或已繳費憑證抬頭為105年1月以後，應取得以載明其名稱、地址及統一編號之公用事業統一發票，才可以扣抵銷項稅額。二、財政部78.9.9台財稅第780276657號函釋，營業人於不動產租賃期間之水電費，憑證名義雖為出租人，如雙方約定由承租人使用支付，該水電費營業稅額，可以檢具水電費收據扣抵聯申報扣抵銷項稅額。考量營業人用戶需時日向公用事業申請變更買受人名義，營業人承租房屋繳納公用事業費用時，繳費通知單或已繳費憑證抬頭為107年6月以前，得比照上開函釋規定辦理；繳費通知單或已繳費憑證抬頭為107年7月以後，則應取具以載明其名稱、地址及統一編號之統一發票申報扣抵。（加值型及非加值型營業稅法第33條及施行細則第38條）（財政部78.9.9台財稅第780276657號函） (財政部106.1.12台財稅字第10500706630號令） 
60,1121002,營業稅稅額應如何計算,營業人向小規模營業人取得進貨憑證可否扣抵？,小規模營業人開立之銷售收據，因小規模營業人不屬於進銷扣抵計算稅額之營業人，其憑證未載有營業稅額，故不得作為扣抵銷項稅額憑證。 
61,1121002,營業稅稅額應如何計算,購買員工制服、工作鞋所負擔進項稅額可否扣抵？,如係員工在工作場所穿著者，可依法扣抵，如係假借工作服之名，而非在工作場所穿著者，不能扣抵。（財政部賦稅署75.4.10台稅二發第7523166號函）
62,1121002,營業稅稅額應如何計算,水、電、瓦斯、電信公司等公用事業所開立之收據可否扣抵？,一、公用事業自105年1月1日起經營本業部分之銷售額，依規定應開立統一發票，營業人用戶繳納承租房屋之公用事業費用時，其繳費通知單或已繳費憑證抬頭為105年1月以後，應取得以載明其名稱、地址及統一編號之公用事業統一發票，才可以扣抵銷項稅額。二、繳費通知單或已繳費憑證抬頭為104年12月以前者，則以載有買受人名稱、地址及統一編號之水、電、瓦斯、電信等公用事業開立載有營業稅額之收據扣抵聯扣抵。（加值型及非加值型營業稅法施行細則第38條第1項第8款）
63,1121002,營業稅稅額應如何計算,營業人與他人共同分攤水、電、瓦斯、電信費用時，應如何分攤扣抵？,營業人須與他人共同分攤之水、電、瓦斯等費用所支付之進項稅額，如繳費通知單或已繳費憑證抬頭為104年12月以前者，則以收據扣抵聯之影本及分攤費用稅額證明單扣抵。如繳費通知單或已繳費憑證抬頭為105年1月以後者，為統一發票之影本及分攤費用稅額證明單；其為雲端發票者，為載有發票字軌號碼或載具流水號之分攤費用稅額證明單。（加值型及非加值型營業稅法施行細則第38條第1項第8、9款）
64,1121002,營業稅稅額應如何計算,員工出差取得運輸事業開立之火（汽）車、高鐵、船舶、飛機等收據或票根可否扣抵？用何憑證？,可以扣抵，以載有營業稅額之收據或票根之影本作為憑證。（加值型及非加值型營業稅法施行細則第38條第1項第10款）
65,1121002,營業稅稅額應如何計算,報社廣告費可否扣抵？,營業廣告費收入採用三聯式收據，其第2聯扣抵聯，由廣告客戶作為進項扣抵憑證。分類廣告費收入採用兩聯式收據，不得作為進項之扣抵憑證，但可作為營業人之費用支出憑證。（財政部75.5.14台財稅第7522603號函） （財政部77.9.17台財稅第770661420號函）
66,1121002,營業稅稅額應如何計算,夜總會及有娛樂節目之餐飲店其營業稅如何課徵？,營業稅就其全部銷售額按特種飲食業稅率15％課徵，由營業人依規定按期（月）自動報繳；但主管稽徵機關亦得依實際營業情形查定其銷售額課徵之。 
67,1121002,營業稅稅額應如何計算,餐飲業向顧客收取的服務費應否列入銷售額？,銷售額包括營業人在貨物或勞務之價額外收取之一切費用，服務費應列入銷售額課稅。（財政部賦稅署75.4.10台稅二發第7523166號函） 
68,1121002,營業稅稅額應如何計算,營業人舉行業務檢討會之餐費發票，是否可以扣抵？,營業人業務會報用餐應屬與業務有關，所索取的餐飲統一發票，其進項稅額得扣抵銷項稅額，並依其發生之事實作為認定之依據。（財政部賦稅署75.5.8台稅二發第7523449號函） 
69,1121002,營業稅稅額應如何計算,補貼業務人員自備車輛公出油費之憑單，是否可以作為進項稅額扣抵？,營業人之員工於在職期間因業務需要使用自有車輛從事營業人之工作，如經書面約定油料費由營業人負擔並取具符合營業稅法第33條規定之憑證者，其進項稅額准予扣抵銷項稅額。（財政部78.9.11台財稅第780273399號函）
70,1121002,營業稅稅額應如何計算,營業人給付員工之旅行費用、生日禮品、慰勞品、康樂活動等費用，而支付的進項稅額可否申報扣抵？,營業人支（給）付員工康樂活動費用、員工旅行費用、員工生日禮品、員工因公受傷之慰勞品、員工婚喪喜慶之禮品，均屬營業稅法第19條第1項第4款規定之酬勞員工個人之貨物或勞務，其進項稅額不得申報扣抵銷項稅額。（財政部75.7.3台財稅第7557458號函）
71,1121002,營業稅稅額應如何計算,營業人取得二聯式收銀機統一發票如何申報扣抵？,得以載有其統一編號的收銀機統一發票收執聯影本，按期彙總計算進項稅額申報扣抵，其進項稅額計算如下：進項稅額＝收銀機統一發票總額×（徵收率÷（1＋徵收率））（加值型及非加值型營業稅法施行細則第38條第1項第3款及第4項）
72,1121002,營業稅稅額應如何計算,營業人委任會計師簽證，所支付之會計師事務所人員赴外埠查帳之住宿費用，可否扣抵？,營業人因委任會計師查核簽證財務報表，所支付之會計師事務所人員赴外埠查帳之住宿費用，核屬給付該會計師事務所之查帳酬金之一部分，其相關之進項稅額依營業稅法第19條第1項第2款規定，不得由營業人申報扣抵銷項稅額。（財政部86.9.25台財稅第861917037號函）       
73,1121002,營業稅稅額應如何計算,信用卡持卡人以刷卡消費累積積點抵免年費或兌換商品，是否屬發卡機構銷售勞務之折讓？        ,信用卡發卡機構為推廣信用卡業務，鼓勵信用卡持卡人以刷卡消費累積之積點抵免次年度信用卡年費或兌換商品，及以刷卡消費累積之現金紅利抵減次期消費款者，其以刷卡消費累積之積點抵免次年度信用卡年費部分，核屬發卡機構給予持卡人信用卡年費之折讓，發卡機構於收取次年度信用卡年費收入開立統一發票時，既已確定給予買受人折讓，應依財政部75年4月28日台財稅第7541444號函規定，按原售價開立統一發票，並在發票備註欄註明折讓金額，銷售額合計欄按實收金額（折讓後金額）填列；惟發卡機構如屬免開立統一發票之營業人，准依帳載抵免次年度信用卡年費紀錄，並出具承諾書敘明原因，核實沖減抵免信用卡年費當期之銷售額及銷項稅額；至持卡人以刷卡消費累積之積點或現金紅利兌換商品及抵減次期消費款部分，則屬發卡機構銷售勞務予信用卡特約商店收取手續費之折讓。為簡化作業，准依其帳載兌換商品及抵減消費款紀錄，並出具承諾書敘明原因，核實沖減兌換商品及抵減消費款當期之銷售額及銷項稅額。（財政部 93.1.09台財稅字第0920456901號令）
74,1121002,營業稅稅額應如何計算,百貨公司專櫃供應商支付之週年慶贊助金，其進項稅額是否可申報扣抵？,百貨公司專櫃貨物供應商支付予百貨公司之週年慶贊助金，如經查明係依雙方合約約定所支付，且供百貨公司舉辦促銷活動之用，則該費用應認屬與其經營本業及附屬業務有關，核非屬加值型及非加值型營業稅法第19條規定不得扣抵銷項稅額之範圍，其進項稅額應准予扣抵銷項稅額。（財政部93.2.26台財稅字第0930450262號函）
75,1121002,營業稅稅額應如何計算,中古車商銷售向依營業稅法第四章第二節規定計算稅額之營業人、政府機關或個人購買之舊乘人小汽車及機車，其原始取得之進項憑證，能否提報扣抵銷項稅額？如能扣抵又於何時提出？,營業人得以該購入成本，按營業稅法第10條規定之徵收率計算進項稅額；其計算公式如下：進項稅額＝[購入成本/(1＋徵收率)]×徵收率 。前項進項稅額，營業人應於申報該輛舊乘人小汽車及機車銷售額之當期，申報扣抵該輛舊乘人小汽車及機車之銷項稅額。但進項稅額超過銷項稅額部分不得扣抵（進項稅額與銷項稅額比較取小者）。但該舊乘人小汽車於購入時，係屬非供銷售或提供勞務使用之自用乘人小汽車者，則不得提報扣抵 。購入該輛舊乘人小汽車及機車之進項憑證，包括普通收據、個人一時貿易資料申報表、特種統一發票、買賣合約書或讓渡書及其他憑證。（加值型及非加值型營業稅法第15條之1）、 (營業人銷售舊乘人小汽車及機車申報營業稅進項稅額注意事項第2及4點)    
76,1121002,營業稅稅額應如何計算,外國國際運輸事業由在台營業場所或代理人支付機師、空服員住宿等費用，能否申報扣抵？,外國國際運輸事業由其在台固定營業場所或代理人支付機師及空服員因飛航行程來臺住宿等相關費用，取得以該固定營業場所或代理人名義之進項稅額憑證，依財政部76年10月13日台財稅第760074195號函規定，准予申報扣抵銷項稅額。（財政部97.08.18台財稅字第09704079540號令）
77,1121002,營業稅稅額應如何計算,營業人於人力銀行網站刊登人事求才廣告，取得憑證之進項稅額，能否申報扣抵銷項稅額？,營業人於人力銀行網站刊登人事求才廣告，取得符合加值型及非加值型營業稅法第33條規定之憑證者，其進項稅額應准予申報扣抵銷項稅額。（財政部97.09.01台財稅字第09704077510號令） 
78,1121002,營業稅稽徵程序相關規定,營業人申請稅籍登記應檢附那些文件？ ,一、營業人申請稅籍登記時，應檢送下列文件：(一)負責人國民身分證影本、戶口名簿影本或其他有效證明文件。 (二)公司組織：公司章程。(三)合夥組織：合夥契約副本。合夥人為未成年人者，並應檢送其法定代理人同意之證件，但已婚者免附。(四)有限合夥組織：有限合夥契約書及選任代表人之普通合夥人同意書。合夥人為未成年人者，並應檢送其法定代理人同意之證件，但已婚者免附。 (五)其他組織：主管機關核准成立的證照影本及組織章程。 (六)分支機構負責人與總機構不同時，應加附授權書。 (七)以自動販賣機銷售貨物或勞務且適用稅籍登記規則第3條第4項規定者，應加附自動販賣機設備編號、放置處所及營業台數明細資料。 公司、獨資、合夥及有限合夥組織之稅籍登記，由主管稽徵機關依據公司、商業或有限合夥登記主管機關提供登記基本資料辦理者，免檢送上述第一款至第四款文件。但稽徵機關得視需要向營業人要求提示第一款文件之正本。二、若外國之事業、機關、團體、組織在中華民國境內營業，但未設立分公司者，其固定營業場所申請稅籍登記時，應檢送下列文件： (一)負責人身分證明文件。(二)代理人之代理委託書，無代理人者免附。 (三)外國事業、機關、團體、組織經該國政府目的事業主管機關核准登記或許可成立之資格證明文件，並由當地政府機關、法院、我國駐當地使領館、辦事處或由該國駐我國使領館、辦事處辦理驗證或公（認）證或依我國公證法所為之公（認）證。上列各式文件，如係以英文以外之外文作成者，應附其英文或中文譯本。（稅籍登記規則第6條及第7條）
79,1121002,營業稅稽徵程序相關規定,營業人以進項稅額扣抵銷項稅額，應取具那些憑證？,應具有載明其名稱、地址及統一編號之下列憑證：一、購買貨物或勞務時，所取得載有營業稅額之統一發票。二、有加值型及非加值型營業稅法第3條第3項第1款規定視為銷售貨物，或同條第4項準用該條款規定視為銷售勞務者，所自行開立載有營業稅額之統一發票。三、其他經財政部核定載有營業稅額之憑證。（加值型及非加值型營業稅法第33條）
80,1121002,營業稅稽徵程序相關規定,申報繳納營業稅應附的文件有那些？      ,應填具規定格式之申報書，檢附退抵稅款及其他有關文件，有應納營業稅額者應附繳納收據，使用發票者並附統一發票明細表。（加值型及非加值型營業稅法第35條）
81,1121002,營業稅稽徵程序相關規定,申報繳納的期限是如何規定？,一、申報繳納的營業人，不論有無銷售額，應以每2月為1期，於次期開始15日內申報銷售額、應納或溢付營業稅額。但外銷適用零稅率者，得申請以每月為1期申報，惟經申請後同一年度內不得變更。二、外國之事業、機關、團體、組織在我國境內無固定場所而有銷售勞務者，由買受人(買受人為個人者，不含電子勞務)於給付報酬之次期開始15日內計算營業稅額繳納之。三、在我國境內無固定場所而有代理人之外國國際運輸事業銷售勞務者，由代理人於載運客、貨出境之次期開始15日內，計算營業稅額申報繳納。四、外國技藝表演業，於次期開始15日內申報繳納，但在同地演出期間不超過30日者，應於演出結束後15日內報繳，須於報繳期限屆滿前離境者，其營業稅應於離境前報繳。（加值型及非加值型營業稅法第35條至第37條）
82,1121002,營業稅稽徵程序相關規定,本公司向國外購進勞務，專供應稅貨物之用，要不要繳營業稅？,按一般稅額計算之營業人，其購進之勞務，專供經營應稅貨物或勞務之用者，免繳營業稅。（加值型及非加值型營業稅法第36條）
83,1121002,營業稅稽徵程序相關規定,本公司在各縣市設有分公司，如何申報繳納？,應分別向各地區主管稽徵機關申報繳納，但一般稅額計算之營業人亦可向財政部申請核准由總機構合併向所在地主管稽徵機關申報銷售額，應納或溢付營業稅額。（加值型及非加值型營業稅法第38條）
84,1121002,營業稅稽徵程序相關規定,營業人那些溢付稅款可以申報查明後退還？,一、因銷售適用零稅率貨物或勞務而溢付之營業稅。 二、因取得固定資產而溢付之營業稅。三、因合併、轉讓、解散或廢止申請註銷登記者，其溢付之營業稅。 四、上述以外之溢付稅額，應由營業人留抵應納營業稅，但情形特殊，得報經財政部核准退還之。（加值型及非加值型營業稅法第39條）
85,1121002,營業稅稽徵程序相關規定,以一般稅額計算之營業人，申報繳納營業稅，應檢附之退抵稅款及其他證明文件有那些？,一、載有營業稅額之統一發票扣抵聯。二、載有營業稅額之海關代徵營業稅繳納證扣抵聯。三、載有營業人統一編號之二聯式收銀機統一發票收執聯影本。四、銷貨退回、進貨退出或折讓證明單及海關退還溢繳營業稅申報單。五、適用零稅率應具備之文件。六、銷售與國防單位免徵營業稅，應檢送之證明。七、營業人購買舊乘人小汽車及機車進項憑證明細表。八、載有買受人名稱、地址及統一編號之水、電、瓦斯等公用事業開立抬頭為中華民國一百零四年十二月以前之收據扣抵聯。九、營業人須與他人共同分攤之水、電、瓦斯等費用所支付之進項稅額，為前款收據扣抵聯之影本及分攤費用稅額證明單。繳費通知單或已繳費憑證抬頭為中華民國一百零五年一月以後者，為統一發票之影本及分攤費用稅額證明單；其為雲端發票者，為載有發票字軌號碼或載具流水號之分攤費用稅額證明單。十、員工出差取得運輸事業開立之火（汽）車、高鐵、船舶、飛機等收據或票根之影本。十一、海關拍賣或變賣貨物填發之貨物清單扣抵聯。十二、載有營業人統一編號及營業稅額之電子發票證明聯。十三、其他經財政部核定載有營業稅額之憑證或影本。營業人經向稽徵機關申請核准者，得以載有進銷項資料之磁帶、磁片、光碟片媒體或以網際網路傳輸資料代替前項第一款至第四款、第七款至第十三款之證明文件。（加值型及非加值型營業稅法施行細則第38條）
86,1121002,營業稅稽徵程序相關規定,經核准由總機構合併申報之營業人，應否再向當地稽徵機關申報？,經核准由總機構合併申報銷售額、應納或溢付營業稅額者，其所有其他固定營業場所，仍應向所在地主管稽徵機關申報銷售額及進項憑證。（加值型及非加值型營業稅法施行細則第39條）
87,1121002,營業稅稽徵程序相關規定,營業人取得固定資產而有溢付營業稅額者，如何計算可退還之稅額？,以一般稅額計算之營業人，取得固定資產而有溢付營業稅額者，其可退還之稅額，為該固定資產之進項稅額。（加值型及非加值型營業稅法施行細則第43條）
88,1121002,營業稅稽徵程序相關規定,小規模營業人以進項稅額10％扣減查定稅額者，應於何時申報？,規定以查定計算營業稅額之營業人，以進項稅額10％扣減查定稅額者，其進項憑證應分別於1月、4月、7月、10月之5日前，向主管稽徵機關申報並以當期各月分之進項憑證為限。未依前項規定期限申報，或非當期各月分進項憑證，不得扣減查定稅額。（加值型及非加值型營業稅法施行細則第44條）
89,1121002,營業稅稽徵程序相關規定,對核定營業稅額如有不服，應如何辦理申請？,營業人對主管稽徵機關填發之繳款書如有不服，應於繳款書送達後，於繳納期間屆滿翌日起算30日內，依規定格式，敘明理由，連同證明文件申請復查。（稅捐稽徵法第35條）
90,1121002,營業稅稽徵程序相關規定,對拍賣貨物應如何辦理營業稅徵納手續？,一、海關拍賣或變賣應課徵營業稅之貨物，應於拍定或成交後，將營業稅款向公庫繳納，並填寫拍賣或變賣貨物清單交付買受人，作為列帳及扣抵憑證。二、執行法院或行政執行機關執行拍賣或變賣貨物，應於拍定或准許承受5日內，將拍定或承受價額通知當地主管稽徵機關查復營業稅之稅額，並由執行法院、行政執行機關代為扣繳。 主管稽徵機關應於接到法院或行政執行機關通知之日起7日內，查明該貨物應否課徵營業稅，其屬應課徵營業稅者，應將應納稅額函復執行法院或行政執行機關並予建檔。執行法院或行政執行機關接到主管稽徵機關復函後，應於拍定或承受價額內，優先於一般債權及抵押權，代為扣繳營業稅。主管稽徵機關應於取得執行法院或行政執行機關扣繳稅額後，填發「法院及行政執行機關拍賣或變賣貨物營業稅繳款書」向公庫繳納。三、若債權人為保全債權，自行拍賣或變賣債務人依動產擔保交易法規定設定動產抵押之抵押物或設定動產質權之質押物，屬加值型及非加值型營業稅法第3條第1項規定之銷售貨物行為，應開立銷售憑證交付買受人。又該債權人拍賣抵押物或質押物以抵償其債務，係屬原所有權人銷售貨物之行為，該抵押物或質押物之原所有權人為營業人者，債權人應於收到買受人支付之價金時，通知原所有權人開立銷售憑證交付債權人作為進項憑證。（加值型及非加值型營業稅法施行細則第47條、法院行政執行機關及海關拍賣或變賣貨物課徵營業稅作業要點、財政部99.7.19台財稅字第09904066410號）
91,1121002,營業稅稽徵程序相關規定,被查獲涉嫌違章之證件如為營業人所需用應如何處理？,一、帳簿：可向主管稽徵機關申請自行抄錄或影印，並依有關帳簿管理規定，另設新帳繼續使用。二、會計憑證及其他證件：如影本足資證明其違章責任者，由該營業人於影本上簽名蓋章證明其與原本無異，經主管稽徵機關核對無訛後，影本附案，原本發還。（加值型及非加值型營業稅法施行細則第48條）
92,1121002,營業稅稽徵程序相關規定,營業人進口貨物經海關代徵營業稅、嗣經國外供應商給予進貨折讓，其溢付稅額可核實退還嗎？,營業人自國外進口貨物並經海關代徵營業稅，嗣經國外供應商給予進貨折讓，未按更正進口報單程序處理，致上開貨物進口時由海關代徵之營業稅額大於其銷項稅額者，其溢付稅額准依加值型及非加值型營業稅法第39條第 2項但書規定核實退還。（財政部98.3.18台財稅字第09800052190號令）
93,1121002,營業稅稽徵程序相關規定,進口貨物未經使用即報關退運出口如何辦理營業稅退稅？,一、營業人進口貨物，在完納各項進口稅捐經海關放行後，未經使用即原貨報關退運出口，不再復運進口，可依海關代徵營業稅稽徵作業手冊參、十四規定向進口地之海關申請退還營業稅。但以在原貨物進口之翌日起 3個月內及復運出口前申請核辦，並提供有關證件，經查明屬實者為限。前開進口貨物如係機器設備，得於安裝就緒試車之翌日起3個月內及復運出口前申請核辦。二、進口貨物如僅部分使用，發現品質不符後，將「未經使用」品質不符部分退運出口，該退運出口之貨物，仍符合海關代徵營業稅稽徵作業手冊參、十四規定未經使用之條件。（財政部98.11.18台財稅字第09804546160號令）
94,1121002,營業稅稽徵程序相關規定,分支機構申請稅籍登記，其負責人應為何人？,有總機構之固定營業場所之負責人應與總機構之負責人一致，但經總機構授權者，為經授權之人。惟如已辦妥公司、獨資、合夥及有限合夥組織之登記，應以主管機關提供登記資料辦理。（稅籍登記規則第3條及第5條）
95,1121002,營業稅稽徵程序相關規定,本公司遷移新址，應向遷出或遷入機關辦理變更登記？,應於事實發生15日內，填具變更登記申請書，檢同有關證件，向遷入地主管稽徵機關申請變更登記。（稅籍登記規則第8條）
96,1121002,營業稅稽徵程序相關規定,公司組織之營利事業對於已登記之事項申請變更登記時，應先辦公司登記？還是稅籍登記變更？,應於辦妥公司變更登記之日起15日內申請變更稅籍登記。（稅籍登記規則第8條）
97,1121002,營業稅稽徵程序相關規定,將實體店面分格出租予承租人銷售貨物應否辦理稅籍登記？取得的進銷項憑證為何？課稅的方式？     ,營業人將店面分格出租予承租人銷售貨物之經營型態，係出租人將實體店面分成數格後，逐一出租予承租人展示商品，由出租人提供人員處理銷售事務，並按承租人所訂價格銷售貨物，再向承租人收取租金或銷售、帳務管理費。此種交易模式，核屬出（承）租行為及委（受）託代銷貨物行為，其稅籍登記、進銷項憑證及課稅方式，應分別依下列規定辦理：一、承租人部分：（一）承租人在中華民國境內銷售貨物，依法應辦理稅籍登記課徵營業稅；惟為簡化稽徵手續，以最近6個月平均每月銷售額如未達小規模營業人營業稅起徵點新臺幣 8萬元(114年1月1日起調增為10萬元)者，得暫免辦理稅籍登記。嗣後如依相關資料查得其最近 6個月平均每月銷售額已達上揭起徵點者，應輔導其辦理稅籍登記、調整查定銷售額或核定使用統一發票。（二）承租人如在中華民國境內不同地點承租格子銷售貨物，應分別辦理稅籍登記，並以各個承租格子所在地點分別依營業稅特種稅額查定辦法查定其銷售額或核定使用統一發票；惟如於同一地點承租多個格子，應併計各個格子銷售額做為其應否辦理稅籍登記之認定基礎。二、出租人部分：（一）屬經稽徵機關核定使用統一發票之營業人：1.於收取租金時應開立統一發票交付承租人；於受託代銷時，依統一發票使用辦法第17條第2項規定，應按約定代銷價格開立統一發票交付買受人。2.受託代銷應自承租人取得之進項憑證部分，按承租人應否辦理稅籍登記分別依下列規定辦理。（1）承租人應辦稅籍登記者：出租人應自承租人取得統一發票或普通收據。如屬應取得普通收據者，稽徵機關得視需要函請出租人提供該等收據資料，做為承租人課稅資料運用。（2）承租人免辦稅籍登記者：出租人應填報「個人一時貿易資料申報表」，按期向主管稽徵機關申報。（二）屬經稽徵機關查定課徵之營業人：出租人銷售額之查定，應依營業稅特種稅額查定辦法相關規定辦理。（財政部98.12.11台財稅字第09800554670號令）
98,1121002,營業稅稽徵程序相關規定,營業人依經銷契約取得的獎勵金，如係按一定期間結算者，應如何填報證明單？,營業人依經銷契約取得或支付的獎勵金，如係按一定期間（按月、季、年）之進貨或銷貨累積金額計算者，取得獎勵金的營業人得彙總開立「銷貨退回、進貨退出或折讓證明單」，並於該證明單「開立發票」欄內，填列起始期間取得第1張統一發票號碼，及在「退貨或折讓內容」欄「品名」項下，書明「彙開」字樣及起訖期間，免予填列原取得之各張統一發票號碼。（財政部75.4.28台財稅第7541444號函）
99,1121002,營業稅稽徵程序相關規定,本公司變更地址，原申報留抵之營業稅額如何辦理？,營業人變更地址，申報營業稅累積留抵稅額，應由遷入地主管稽徵機關受理申報繼續留抵或依規定核實退還或留抵。(財政部76.4.18台財稅第7622178號函)(財政部77.9.17台財稅第770661420號函)
100,1121002,營業稅稽徵程序相關規定,納稅義務人自動向稅捐稽徵機關補報並補繳所漏稅款加計利息如何計算？,應自該項稅捐原繳納期限截止之次日起，至補繳之日止，就補繳之應納稅捐，依各年度1月1日郵政儲金1年期定期儲金固定利率，按日加計利息，一併徵收。 （稅捐稽徵法第48條之1）
101,1121002,營業稅稽徵程序相關規定,總機構及其他固定營業場所申請合併報繳營業時，應檢附那些證件？,依加值型及非加值型營業稅法第4章第1節規定計稅之營業人，總機構於申請合併申報時應填具申請函，檢附所有其他固定營業場所名冊3份，載明營利事業統一編號、稅籍編號、營業人名稱、負責人、營業所在地地址、設立日期，函請所在地主管稽徵機關核轉財政部，在未奉核准前仍應分別申報繳納。
102,1121002,營業稅稽徵程序相關規定,營利事業銷貨退回，其已報繳之營業稅如何申請退還或抵繳稅款？,一、營業人銷售貨物或勞務於開立統一發票月份以後，買受人因故未將所收受之進項統一發票收執聯及扣抵聯列帳，亦未申報扣抵銷項稅額，不能開立「銷貨退回、進貨退出或折讓證明單」者，應由營業人（賣方）憑買受人退回之原開統一發票收執聯及扣抵聯專案申報主管稽徵機關，經稽徵機關查明屬實後，其溢付稅額，准予留抵或退還。並建檔沖減營業人（賣方）銷售額。至買受人如有未依規定期限記帳者，應另行查明事實，依稅捐稽徵法第45條之規定處罰。二、營業人銷售貨物或勞務於開立統一發票後，凡買受人已依照規定申報進項稅額並扣抵銷項稅額者，事後因故發生銷貨退回或折讓者，應由買受人依照規定開立「銷貨退回、進貨退出或折讓證明單」，由進、銷雙方分別依照統一發票使用辦法第20條第2項規定辦理。（財政部75.11.26台財稅第7572872號函）
103,1121002,營業稅稽徵程序相關規定,酬勞員工、交際應酬贈送之貨物是否應開立統一發票？         ,營業人以自己產製、進口、購買之貨物酬勞員工或交際應酬應否開立發票，分兩種情形：一、原來就決定供作酬勞員工或交際應酬者，並以各該有關科目列帳，且該項貨物所支付之進項稅額未申報扣抵，即可免視為銷售貨物並免開統一發票。二、如果原來並未決定供作酬勞員工或交際應酬或捐贈，以進貨或有關損費科目列帳，且該項貨物所支付之進項稅額已申報扣抵銷項稅額者，自應於轉作酬勞員工、交際應酬時，依視為銷售貨物之規定，按時價開立統一發票。該張發票之扣抵聯應由營業人於開立後自行截角或加蓋戳記作廢，不可以申報扣抵銷項稅額。（財政部76.7.22台財稅第761112325號函）
104,1121002,營業稅稽徵程序相關規定,經核准由總機構合併總繳之營業人，其他固定營業場所應如何申報？,其他固定營業場所仍應向所在地主管稽徵機關申報進、銷項營業資料及營業人銷售額與稅額申報書，填報申報書時，應在其右上角「各單位分別申報」欄右方空格內打「V」，稅額計算欄內可以不必填寫，亦免予繳納營業稅。總機構本身個別營業部分與其他固定營業場所申報方法相同，另應填寫自行及所屬其他固定營業場所加總合計申報資料後之申報書，計算應納或溢付的營業稅額，並在右上角「總機構彙總報繳」右方空格內打「V」，其有應納稅額者，應先向公庫繳納後，再向稽徵機關申報。
